feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T318	E1	yes	2.00738744407816	1.0940500984575	23	10	0.0807388514893123	0.807825944584325
T354	E1	yes	0.72156717329418	0.389486259826457	23	20	0.0780458751085028	0.807825944584325
T361	E1	yes	-1.37155008608245	0.747614675293907	23	7	0.080777888677363	0.807825944584325
T5	E1	yes	-0.134970733526111	0.0788552633415908	23	23	0.101696697109782	0.830973306977074
T15	E1	yes	-0.126593046164715	0.0748528179530087	23	23	0.105582490768852	0.830973306977074
T17	E1	yes	-0.130983793483317	0.0756064184657806	23	23	0.0978580709110057	0.830973306977074
T60	E1	yes	-0.187372982574067	0.107673289997715	23	23	0.0964598309691439	0.830973306977074
T309	E1	yes	0.872531534652698	0.513736586490854	23	21	0.104201360836796	0.830973306977074
T313	E1	yes	0.844290753369764	0.495643510627057	23	19	0.103244249470912	0.830973306977074
T381	E1	yes	1.78507223630761	1.04274109001059	23	7	0.10164470553779	0.830973306977074
T93	E1	yes	0.357987263933909	0.217317112634569	23	23	0.114378899962888	0.880306827434577
T220	E1	yes	-0.623037278318057	0.382291317897986	23	19	0.118064680385343	0.880306827434577
T221	E1	yes	0.745544668794162	0.455125507273356	23	21	0.116296897369705	0.880306827434577
T94	E1	yes	0.375699602725614	0.234573672053484	23	23	0.124174619862713	0.887885308095687
T367	E1	yes	2.12757326922835	1.33276663981643	23	7	0.125348514084097	0.887885308095687
T368	E1	yes	2.12757326922835	1.33276663981643	23	7	0.125348514084097	0.887885308095687
T14	E1	yes	-0.117758577108369	0.0766811673842189	23	23	0.139544551572326	0.888902859632908
T44	E1	yes	-0.229735327391872	0.146327284458283	23	23	0.131358757576428	0.888902859632908
T62	E1	yes	0.720153869296763	0.474895453557399	23	22	0.144315993681578	0.888902859632908
T66	E1	yes	-0.152166788175868	0.097168013214417	23	23	0.132290158538175	0.888902859632908
T89	E1	yes	0.341351699759557	0.221305430439547	23	23	0.137900815426594	0.888902859632908
T145	E1	yes	0.415642470583868	0.272506632430448	23	23	0.142115383213717	0.888902859632908
T170	E1	yes	0.356255016704119	0.234848664361647	23	23	0.144188205713905	0.888902859632908
T291	E1	yes	0.765415751704239	0.489503936515492	23	20	0.132843545759728	0.888902859632908
T364	E1	yes	1.01335917827458	0.658409922529813	23	14	0.138712845993007	0.888902859632908
T319	E1	yes	0.813959608310328	0.540655411095014	23	19	0.147088283488934	0.893036006897101
T3	E1	yes	-0.123554566537472	0.08621944861853	23	23	0.166571293245026	0.895529401148159
T7	E1	yes	-0.101384685497752	0.0723433482393262	23	23	0.175689881614721	0.895529401148159
T20	E1	yes	-0.107720710191928	0.0742426419726944	23	23	0.161574640861803	0.895529401148159
T22	E1	yes	-0.11521759086679	0.080154059097881	23	23	0.165324193897603	0.895529401148159
T50	E1	yes	-0.108500110754375	0.0770646919077677	23	23	0.173789673858599	0.895529401148159
T56	E1	yes	-0.15560544187478	0.107054659441986	23	23	0.160862993555518	0.895529401148159
T84	E1	yes	-0.268323730898878	0.199725161342679	23	23	0.193460082720824	0.895529401148159
T117	E1	yes	-0.306462680825977	0.207651470682381	23	23	0.15482162992182	0.895529401148159
T126	E1	yes	0.523921841952009	0.385536670662669	23	23	0.188582619067262	0.895529401148159
T181	E1	yes	-0.290529942292829	0.205149939856326	23	23	0.171384406991903	0.895529401148159
T182	E1	yes	0.547736847790467	0.388260627337568	23	22	0.172962266588138	0.895529401148159
T188	E1	yes	0.541272347321338	0.371979084722024	23	21	0.160423706459194	0.895529401148159
T194	E1	yes	0.556473491662966	0.411146390251671	23	19	0.190296384752448	0.895529401148159
T213	E1	yes	-0.700592559134216	0.521964431413223	23	15	0.193855776248543	0.895529401148159
T214	E1	yes	-0.584507716362238	0.425675372016076	23	21	0.184197087021969	0.895529401148159
T232	E1	yes	-0.71687934625862	0.530842706712386	23	15	0.191244887805406	0.895529401148159
T312	E1	yes	0.691956158439824	0.482521475632639	23	20	0.166283909923398	0.895529401148159
T322	E1	yes	-1.17107604101466	0.867074439320685	23	11	0.191197317101168	0.895529401148159
T338	E1	yes	1.19768202291639	0.876778016376888	23	10	0.186389591860778	0.895529401148159
T363	E1	yes	1.04901762783998	0.769630281033003	23	15	0.187315213379463	0.895529401148159
T382	E1	yes	2.29206257924137	1.66423223658137	23	4	0.182939218664495	0.895529401148159
T426	E1	yes	2.56697507340895	1.81017835936453	23	3	0.170837266198837	0.895529401148159
T1	E1	yes	-0.0927100631020608	0.0776618352686003	23	23	0.24588104145728	0.913879066101053
T4	E1	yes	-0.083690562533404	0.0670001572226087	23	23	0.225369612944687	0.913879066101053
T13	E1	yes	-0.103125543297235	0.0798226503215222	23	23	0.21041795414433	0.913879066101053
T18	E1	yes	-0.138039109409605	0.132447350319526	23	23	0.309160797221648	0.913879066101053
T30	E1	yes	-0.0912533863686177	0.0798213322478258	23	23	0.265812980435613	0.913879066101053
T33	E1	yes	-0.0997279755339422	0.0794653827882198	23	23	0.22327088306498	0.913879066101053
T37	E1	yes	-0.0937990312768237	0.0802683733945821	23	23	0.25567293074311	0.913879066101053
T39	E1	yes	-0.0909895201775028	0.0763972572277251	23	23	0.246939998590821	0.913879066101053
T52	E1	yes	0.117207934156148	0.104210825441013	23	23	0.27339973741089	0.913879066101053
T55	E1	yes	-0.117923876989556	0.0910211230751159	23	23	0.209185842464965	0.913879066101053
T63	E1	yes	-0.149746900742793	0.118977494145971	23	23	0.221982347383959	0.913879066101053
T65	E1	yes	-0.160728519806948	0.139487632666029	23	23	0.26215599387412	0.913879066101053
T68	E1	yes	0.249450625963159	0.229516451240406	23	23	0.289419950499225	0.913879066101053
T71	E1	yes	-0.274542167495304	0.215500117333481	23	21	0.21659112060522	0.913879066101053
T73	E1	yes	0.10794974985356	0.100068258257986	23	23	0.292929672877082	0.913879066101053
T74	E1	yes	0.10794974985356	0.100068258257986	23	23	0.292929672877082	0.913879066101053
T121	E1	yes	0.334888831019283	0.320015538012626	23	22	0.307237266724255	0.913879066101053
T122	E1	yes	0.33039064682964	0.312371997589994	23	22	0.302215517762816	0.913879066101053
T127	E1	yes	0.33584295902786	0.320166325711934	23	22	0.306117620014443	0.913879066101053
T128	E1	yes	0.340770155995226	0.288034026704224	23	22	0.249994767066179	0.913879066101053
T135	E1	yes	0.342733148126924	0.330018668948627	23	22	0.310835601496489	0.913879066101053
T139	E1	yes	0.341679076122384	0.329387136578663	23	22	0.311385378635593	0.913879066101053
T140	E1	yes	0.31233562228598	0.294943771922211	23	22	0.301644190747213	0.913879066101053
T141	E1	yes	0.231167082466011	0.198646257126375	23	23	0.257592714699964	0.913879066101053
T142	E1	yes	0.300761208258262	0.284451695757515	23	23	0.302369966284436	0.913879066101053
T146	E1	yes	0.367946679195722	0.333114123003099	23	22	0.281843200547691	0.913879066101053
T148	E1	yes	0.336320622199429	0.319934872719831	23	22	0.305106437489521	0.913879066101053
T158	E1	yes	0.158949176929206	0.145792274992957	23	23	0.287958102123507	0.913879066101053
T165	E1	yes	0.311339286485658	0.300398773269917	23	23	0.31179403431683	0.913879066101053
T178	E1	yes	0.470185808725555	0.376419730452571	23	22	0.225373249494448	0.913879066101053
T193	E1	yes	0.24300592087313	0.222978779160649	23	23	0.288142219964689	0.913879066101053
T204	E1	yes	0.852830885281753	0.79342681411091	23	14	0.294628179775148	0.913879066101053
T228	E1	yes	-1.06021645846775	0.837725195013116	23	8	0.219521969474695	0.913879066101053
T233	E1	yes	-0.423424336766892	0.35540177913993	23	22	0.246789765136507	0.913879066101053
T237	E1	yes	0.54383966947719	0.508571769025844	23	18	0.29705143072143	0.913879066101053
T278	E1	yes	-0.463371785046733	0.420850620262603	23	17	0.28334157858812	0.913879066101053
T280	E1	yes	0.576701587053416	0.526331323596827	23	18	0.285617210794712	0.913879066101053
T292	E1	yes	0.668531234709221	0.523594439965134	23	22	0.21560753738156	0.913879066101053
T308	E1	yes	1.2262112543105	1.10030103342022	23	7	0.277686172901128	0.913879066101053
T332	E1	yes	-1.54024523304713	1.38031341649508	23	3	0.277085799716447	0.913879066101053
T334	E1	yes	0.494709555712627	0.374850460301799	23	20	0.201125218219351	0.913879066101053
T341	E1	yes	0.954629422492332	0.757143525050286	23	11	0.221198728634004	0.913879066101053
T343	E1	yes	1.14628270608016	1.07348923185208	23	5	0.297728204890721	0.913879066101053
T351	E1	yes	1.27426838045414	1.05295264297644	23	7	0.239653847715382	0.913879066101053
T387	E1	yes	1.30296855500971	1.18431770718403	23	5	0.283703757283405	0.913879066101053
T388	E1	yes	1.30296855500971	1.18431770718403	23	5	0.283703757283405	0.913879066101053
T390	E1	yes	0.584616401740639	0.487987115310097	23	15	0.244257668992094	0.913879066101053
T403	E1	yes	-1.55036432940557	1.32552499805906	23	3	0.255257167512281	0.913879066101053
T415	E1	yes	1.34869753917005	1.1573542056059	23	6	0.256952589186015	0.913879066101053
T419	E1	yes	2.06755808293772	1.9510523254994	23	2	0.301311705638063	0.913879066101053
T423	E1	yes	1.95109344104381	1.57369535028205	23	4	0.228719483955423	0.913879066101053
T472	E1	yes	-1.57548681301752	1.45817981308156	23	2	0.292195696837243	0.913879066101053
T473	E1	yes	-1.57097737139042	1.45799187686918	23	2	0.293482091186058	0.913879066101053
T238	E1	yes	0.813271302302268	0.797348302093069	23	13	0.319350181634749	0.917052886451138
T239	E1	yes	0.815051486110369	0.796992223687007	23	13	0.318106148419164	0.917052886451138
T261	E1	yes	0.542883607426785	0.529604770990761	23	18	0.316992456466261	0.917052886451138
T23	E1	yes	-0.0727554816585061	0.0738642201689064	23	23	0.3358425800342	0.919921682820172
T24	E1	yes	-0.0727554816585061	0.0738642201689064	23	23	0.3358425800342	0.919921682820172
T32	E1	yes	-0.129108546843226	0.131721689861259	23	23	0.338164234145904	0.919921682820172
T45	E1	yes	0.0966078689338721	0.0974340840996488	23	23	0.332719580079121	0.919921682820172
T76	E1	yes	-0.100258344391021	0.101345771794885	23	23	0.333793315312535	0.919921682820172
T86	E1	yes	0.103365459579051	0.106048589815751	23	23	0.340804417105995	0.919921682820172
T91	E1	yes	0.101089542823175	0.104030757275402	23	23	0.34224658420026	0.919921682820172
T101	E1	yes	0.114732536740172	0.117046286723342	23	23	0.33813023066749	0.919921682820172
T138	E1	yes	0.349582663211113	0.348998630977951	23	22	0.327904397460363	0.919921682820172
T190	E1	yes	0.515358590933935	0.54989256364048	23	18	0.359310586701526	0.919921682820172
T260	E1	yes	0.795994348826917	0.811032790814807	23	13	0.337539908599469	0.919921682820172
T333	E1	yes	1.3075931209735	1.39415364176386	23	4	0.358952471956503	0.919921682820172
T355	E1	yes	1.05044026660137	1.11075124391491	23	8	0.355055611028232	0.919921682820172
T356	E1	yes	1.05044026660137	1.11075124391491	23	8	0.355055611028232	0.919921682820172
T357	E1	yes	1.05044026660137	1.11075124391491	23	8	0.355055611028232	0.919921682820172
T358	E1	yes	1.05044026660137	1.11075124391491	23	8	0.355055611028232	0.919921682820172
T410	E1	yes	-1.09214780145919	1.16158378876025	23	4	0.357793419821175	0.919921682820172
T411	E1	yes	-0.54391803843924	0.570056719763907	23	12	0.350864120797845	0.919921682820172
T200	E1	yes	0.530330187340002	0.574872457036085	23	18	0.366736768875174	0.933312136358975
T19	E1	yes	-0.111208915139865	0.125395416898463	23	23	0.385195445847861	0.943345262587705
T21	E1	yes	-0.110838442796056	0.124899377625922	23	23	0.38490295910752	0.943345262587705
T46	E1	yes	-0.0524800246947357	0.0591521257713539	23	23	0.385017365353277	0.943345262587705
T70	E1	yes	-0.145695997372409	0.160946270826123	23	23	0.375604181637846	0.943345262587705
T110	E1	yes	0.116646287481448	0.13053026248492	23	23	0.381645115404276	0.943345262587705
T163	E1	yes	0.220297513501677	0.250132491118181	23	23	0.388436284594938	0.943345262587705
T222	E1	yes	0.448477887584767	0.502684946372116	23	18	0.382413917719474	0.943345262587705
T375	E1	yes	-0.895393109652704	1.01663818710408	23	7	0.388427870643125	0.943345262587705
T42	E1	yes	-0.0616455438509173	0.0715259958334073	23	23	0.398498447648856	0.94588237457464
T224	E1	yes	0.437971913493589	0.510489397197933	23	18	0.400609005702201	0.94588237457464
T225	E1	yes	0.437971913493589	0.510489397197933	23	18	0.400609005702201	0.94588237457464
T226	E1	yes	0.437971913493589	0.510489397197933	23	18	0.400609005702201	0.94588237457464
T379	E1	yes	0.836924014291602	0.973870910811666	23	9	0.399835686389378	0.94588237457464
T27	E1	yes	-0.0668538347705408	0.0793342101416761	23	23	0.408899605224807	0.954847979233752
T247	E1	yes	0.44377471049757	0.524307637842763	23	18	0.406870969646108	0.954847979233752
T162	E1	yes	-0.165736540182025	0.198431913577544	23	23	0.412989530384599	0.959128690783904
T10	E1	yes	-0.048553886483771	0.065639326017143	23	23	0.467666925288485	0.965365932271243
T11	E1	yes	-0.0481453098067783	0.0619792348973325	23	23	0.445940587340849	0.965365932271243
T12	E1	yes	-0.048553886483771	0.065639326017143	23	23	0.467666925288485	0.965365932271243
T77	E1	yes	0.0885042217938564	0.111127127620441	23	23	0.434697878530897	0.965365932271243
T92	E1	yes	0.119634927235353	0.149529749998079	23	23	0.432625780303146	0.965365932271243
T107	E1	yes	-0.113498337520844	0.139147575625641	23	23	0.423845096500624	0.965365932271243
T116	E1	yes	-0.184441758991677	0.260124378683905	23	23	0.486090140014226	0.965365932271243
T118	E1	yes	-0.196154263878949	0.268316400144552	23	23	0.472823908006538	0.965365932271243
T130	E1	yes	0.0904121137263002	0.124675771053608	23	23	0.476346711804094	0.965365932271243
T131	E1	yes	0.172593944110387	0.234377900969928	23	23	0.46963930873038	0.965365932271243
T149	E1	yes	0.215370802599424	0.283485738152926	23	23	0.45586453663892	0.965365932271243
T168	E1	yes	0.150635153547587	0.199284634989461	23	23	0.458117173965686	0.965365932271243
T172	E1	yes	-0.181741259597441	0.242056353687487	23	23	0.461090879294259	0.965365932271243
T176	E1	yes	0.183687580836881	0.243626834180781	23	23	0.45923793449901	0.965365932271243
T197	E1	yes	0.316539741006503	0.415794492884869	23	21	0.454949190151577	0.965365932271243
T203	E1	yes	0.412749868957094	0.542765888322887	23	20	0.455435797372373	0.965365932271243
T216	E1	yes	-0.184264271977518	0.249102508026445	23	23	0.467663737657686	0.965365932271243
T227	E1	yes	-0.183014226670021	0.255798210685028	23	23	0.48220265563249	0.965365932271243
T244	E1	yes	0.620288325824845	0.858818897086722	23	11	0.478102758674292	0.965365932271243
T264	E1	yes	0.435143399309699	0.53418768296995	23	22	0.424449488968134	0.965365932271243
T266	E1	yes	-0.266820565196163	0.374775216965048	23	20	0.484331800779737	0.965365932271243
T274	E1	yes	16.1232480630814	22.6030606010146	23	4	0.483499370010941	0.965365932271243
T276	E1	yes	-0.633150475890664	0.820749828849484	23	14	0.449046430210047	0.965365932271243
T283	E1	yes	0.411587231949738	0.558407833576062	23	18	0.469233729422874	0.965365932271243
T284	E1	yes	0.411587231949738	0.558407833576062	23	18	0.469233729422874	0.965365932271243
T305	E1	yes	-0.625872939799949	0.773314008078773	23	16	0.427395826633024	0.965365932271243
T350	E1	yes	0.93056635364734	1.13784073709684	23	7	0.422634104402053	0.965365932271243
T353	E1	yes	0.591374008553236	0.789370120389847	23	11	0.462063624898639	0.965365932271243
T372	E1	yes	17.6013048143617	22.5542418884659	23	6	0.443864262537049	0.965365932271243
T412	E1	yes	1.50034626298338	1.85623804272941	23	2	0.427995669124865	0.965365932271243
T452	E1	yes	1.33005811574026	1.8226645686084	23	2	0.473615484822263	0.965365932271243
T82	E1	yes	0.0451393722059325	0.0668471020230692	23	23	0.506876551941115	0.973911144822234
T177	E1	yes	0.243516532408301	0.359930362899442	23	23	0.506065949904077	0.973911144822234
T183	E1	yes	-0.175697545608629	0.253797719282893	23	23	0.49634952617547	0.973911144822234
T231	E1	yes	0.319236722652587	0.463391971886453	23	21	0.498419480490874	0.973911144822234
T236	E1	yes	0.456721768271768	0.662247628303831	23	18	0.497962614199935	0.973911144822234
T300	E1	yes	-0.289749351298049	0.430984703115268	23	22	0.508725350942438	0.973911144822234
T340	E1	yes	-0.55510131776899	0.820555961394555	23	6	0.506110434781144	0.973911144822234
T384	E1	yes	0.771224781513779	1.12617687671716	23	6	0.500948864228662	0.973911144822234
T2	E1	yes	-0.0654233037731789	0.100722519657577	23	23	0.523031267465178	0.975625515500046
T35	E1	yes	-0.0513733884241155	0.079605595950956	23	23	0.525689983645907	0.975625515500046
T36	E1	yes	-0.0513775796064703	0.0796040153939382	23	23	0.525648397478726	0.975625515500046
T132	E1	yes	0.0910437733754312	0.136856243876994	23	23	0.513130639789241	0.975625515500046
T152	E1	yes	-0.167956688376201	0.259918623046256	23	23	0.52515615619495	0.975625515500046
T153	E1	yes	-0.167953762522783	0.259917722034425	23	23	0.525161881099399	0.975625515500046
T262	E1	yes	0.509228866531195	0.784155607868313	23	14	0.523121393442529	0.975625515500046
T314	E1	yes	0.377172785336072	0.590512170840965	23	16	0.529909456377408	0.979180517219124
T105	E1	yes	-0.0920230653087792	0.14490851092415	23	23	0.532259627191353	0.979265547862879
T104	E1	yes	0.158562327126736	0.251192951148352	23	23	0.534696503112333	0.979508680270437
T173	E1	yes	-0.206657182014571	0.330479541765548	23	22	0.538494372782127	0.982232225031777
T26	E1	yes	-0.0422890169868453	0.0703535832509226	23	23	0.554211799504197	0.99003412516464
T40	E1	yes	-0.044774671398828	0.0755308401341023	23	23	0.559645357166462	0.99003412516464
T49	E1	yes	-0.0705245218028303	0.118093449145581	23	23	0.5567637612441	0.99003412516464
T53	E1	yes	-0.037255610253778	0.0654308584420997	23	23	0.575132746631332	0.99003412516464
T102	E1	yes	0.142915377374373	0.25428282748293	23	23	0.580043522743519	0.99003412516464
T119	E1	yes	0.111961216452585	0.196683830333148	23	23	0.575228909485855	0.99003412516464
T124	E1	yes	0.0829124735860046	0.145854661638734	23	23	0.575752084104527	0.99003412516464
T147	E1	yes	0.143239096515667	0.254329660503885	23	23	0.579261461643244	0.99003412516464
T229	E1	yes	0.248059890224372	0.420051975366876	23	18	0.56112710289156	0.99003412516464
T248	E1	yes	1.08136630004909	1.76857968375958	23	2	0.547476170339257	0.99003412516464
T251	E1	yes	0.186528739745957	0.319833306447488	23	23	0.565965780501119	0.99003412516464
T306	E1	yes	0.562500033116359	0.989284462730708	23	6	0.575663257434189	0.99003412516464
T335	E1	yes	0.430704418481374	0.761226148997339	23	12	0.577523792472553	0.99003412516464
T345	E1	yes	0.612887060976177	1.0043855649838	23	6	0.548269392337415	0.99003412516464
T378	E1	yes	0.52996183217342	0.897554223976417	23	6	0.561189369744965	0.99003412516464
T385	E1	yes	15.8664328227745	27.5477770792431	23	6	0.57076346057584	0.99003412516464
T208	E1	yes	0.229777296113533	0.414089366252112	23	23	0.584827131382083	0.990245142778428
T223	E1	yes	0.522398572281217	0.936852930728024	23	9	0.583006538271975	0.990245142778428
T8	E1	yes	-0.0332670556640484	0.106167153236092	23	23	0.757108794104467	0.994660520397894
T29	E1	yes	-0.0237131501205056	0.0735205374557495	23	23	0.75023451168219	0.994660520397894
T31	E1	yes	-0.0220706629745699	0.0757167748234922	23	23	0.773536619952679	0.994660520397894
T34	E1	yes	-0.0263670259211581	0.0834845654441326	23	23	0.755248172075551	0.994660520397894
T38	E1	yes	0.0183457569827749	0.154544357060304	23	23	0.906634372280716	0.994660520397894
T41	E1	yes	0.016703854071534	0.0639331991089667	23	23	0.796429233531508	0.994660520397894
T43	E1	yes	0.0420563832507588	0.0903537565446973	23	23	0.646390514859076	0.994660520397894
T47	E1	yes	-0.0656806963713925	0.134631816467708	23	23	0.630707758815056	0.994660520397894
T48	E1	yes	-0.0321763390436592	0.0751770119055716	23	23	0.673003015179712	0.994660520397894
T51	E1	yes	-0.0322512445976612	0.142034769708838	23	23	0.822568437596761	0.994660520397894
T58	E1	yes	0.00477133780029178	0.0648292818657492	23	23	0.942026405052375	0.994660520397894
T59	E1	yes	0.0230158596812366	0.0958976250440802	23	23	0.812654032588151	0.994660520397894
T61	E1	yes	-0.0236698767021	0.111657338775386	23	23	0.834161346022739	0.994660520397894
T64	E1	yes	-0.0505342566067884	0.129471357960035	23	23	0.70023666782098	0.994660520397894
T67	E1	yes	-0.0330688892133777	0.100530223905242	23	23	0.745455400201716	0.994660520397894
T72	E1	yes	0.0219899944497835	0.0797019005285329	23	23	0.785319421743329	0.994660520397894
T78	E1	yes	-0.0471041060018663	0.201477764577463	23	23	0.817409697781307	0.994660520397894
T79	E1	yes	-0.0340940976192022	0.150641206271013	23	23	0.823135901440188	0.994660520397894
T80	E1	yes	0.0359086393084942	0.1409622114249	23	23	0.801402348564081	0.994660520397894
T81	E1	yes	-0.0343710761297089	0.135141550939435	23	23	0.801711475081383	0.994660520397894
T83	E1	yes	-0.0406624517274836	0.122733288301785	23	23	0.743695650836181	0.994660520397894
T85	E1	yes	0.0345470396539413	0.0716481285336535	23	23	0.634668087686464	0.994660520397894
T87	E1	yes	0.00154806085956331	0.158927672468544	23	23	0.99232014270284	0.994660520397894
T88	E1	yes	-0.0290537301118415	0.0835323266273049	23	23	0.731441831231431	0.994660520397894
T90	E1	yes	-0.0364031790083169	0.0855662651824022	23	23	0.674845191733501	0.994660520397894
T95	E1	yes	-0.00987585332178758	0.536095008254389	23	22	0.985476243051912	0.994660520397894
T96	E1	yes	-0.118904579564448	0.257677243259595	23	23	0.649221483338802	0.994660520397894
T97	E1	yes	0.0192854361181984	0.193251621278132	23	23	0.921454083644821	0.994660520397894
T98	E1	yes	-0.0866252276483109	0.241100283366852	23	23	0.722964699140018	0.994660520397894
T100	E1	yes	-0.0319678353426439	0.121352539429733	23	23	0.79478712416414	0.994660520397894
T103	E1	yes	0.0595112079829967	0.161390893141663	23	23	0.716013259474705	0.994660520397894
T106	E1	yes	0.110401601519841	0.21236032264124	23	23	0.608585391949166	0.994660520397894
T109	E1	yes	0.0721590234016631	0.165909239447071	23	23	0.668049618341154	0.994660520397894
T111	E1	yes	-0.0110119531188222	0.168873860793176	23	23	0.948625046601664	0.994660520397894
T112	E1	yes	-0.0642969725091209	0.179165122602121	23	23	0.723275283311678	0.994660520397894
T114	E1	yes	-0.0942492575730558	0.449489525942498	23	23	0.83593777746629	0.994660520397894
T115	E1	yes	0.00671271609643839	0.277056326320178	23	23	0.980898937114078	0.994660520397894
T120	E1	yes	0.0383105544032876	0.275303120458802	23	23	0.890651430183222	0.994660520397894
T123	E1	yes	-0.0125328137361526	0.160610346447803	23	23	0.938541010965058	0.994660520397894
T125	E1	yes	0.0607243141978405	0.201274457531183	23	23	0.765848911161452	0.994660520397894
T129	E1	yes	-0.033727741275797	0.374093611320418	23	23	0.929015611947123	0.994660520397894
T133	E1	yes	0.0149408653657094	0.092132211457103	23	23	0.872724059205908	0.994660520397894
T134	E1	yes	-0.0307626375740415	0.107729076777561	23	23	0.778016141033035	0.994660520397894
T136	E1	yes	0.080671022672355	0.216101364526021	23	23	0.712665659256321	0.994660520397894
T137	E1	yes	0.0612391059318231	0.217431458503545	23	23	0.780970281852943	0.994660520397894
T143	E1	yes	-0.021539513069199	0.250161282635187	23	23	0.932200607261972	0.994660520397894
T144	E1	yes	0.0478714730905032	0.279365577093336	23	23	0.865582870526676	0.994660520397894
T150	E1	yes	0.0104310877071617	0.181081698424977	23	23	0.954608417385913	0.994660520397894
T151	E1	yes	0.0584436638792571	0.274591373887649	23	23	0.833505324597659	0.994660520397894
T155	E1	yes	-0.027110512339341	0.129602303128848	23	23	0.836321760197373	0.994660520397894
T156	E1	yes	0.320567158601392	0.62282593167081	23	11	0.612139108913601	0.994660520397894
T157	E1	yes	0.0585823490136941	0.227302162160278	23	23	0.79912486454331	0.994660520397894
T160	E1	yes	0.0269667270212863	0.144964119608909	23	23	0.854211547013744	0.994660520397894
T161	E1	yes	0.00561887407985272	0.202645435312331	23	23	0.978141215093762	0.994660520397894
