feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T408	E1	yes	-1.77513732489559	1.19739954623713	37	4	0.147157856465277	0.993094421927372
T409	E1	yes	2.59962346882832	1.40155098988266	37	11	0.072061996156867	0.993094421927372
T410	E1	yes	-0.569616845446632	0.733307471239639	37	11	0.442508362014036	0.993094421927372
T411	E1	yes	0.404884258782696	0.478280366850448	37	21	0.403001813983517	0.993094421927372
T412	E1	yes	-0.742538788087573	0.710671351028456	37	18	0.303259236418611	0.993094421927372
T413	E1	yes	0.558273425799014	1.20322578111243	37	9	0.645534609966855	0.993094421927372
T414	E1	yes	0.57342212210278	1.20876618677124	37	9	0.638170928711894	0.993094421927372
T415	E1	yes	0.347743567064278	0.556833783149771	37	23	0.536348272274835	0.993094421927372
T416	E1	yes	-0.508416050006712	0.638739068551757	37	20	0.431416221726858	0.993094421927372
T417	E1	yes	-0.932685037708984	1.08585969537813	37	10	0.396219999795236	0.993094421927372
T418	E1	yes	-0.932685037708984	1.08585969537813	37	10	0.396219999795236	0.993094421927372
T419	E1	yes	-1.02220683243386	1.13669518088744	37	8	0.374649370955404	0.993094421927372
T420	E1	yes	-0.893883479218424	1.13151311961112	37	8	0.434853797552527	0.993094421927372
T421	E1	yes	-0.56213333342642	0.70351421523207	37	20	0.429658691376993	0.993094421927372
T422	E1	yes	-0.56213333342642	0.70351421523207	37	20	0.429658691376993	0.993094421927372
T423	E1	yes	-1.01413687937649	1.06687034721038	37	11	0.348340123934415	0.993094421927372
T424	E1	yes	-1.41017543424457	0.864877221172853	37	18	0.111965379922304	0.993094421927372
T425	E1	yes	-1.03894861253328	0.777109744732151	37	15	0.189867793760823	0.993094421927372
T426	E1	yes	0.644895372761618	1.2855141936222	37	7	0.619045522567911	0.993094421927372
T427	E1	yes	0.715882959629526	1.36703699695518	37	5	0.60380505685186	0.993094421927372
T428	E1	yes	0.793212172868029	0.712436851424011	37	17	0.273133944536379	0.993094421927372
T429	E1	yes	-1.02187075419115	1.11364282083206	37	8	0.365112174446309	0.993094421927372
T430	E1	yes	0.0820589781380086	0.696603869603357	37	15	0.906900661892862	0.993094421927372
T431	E1	yes	-1.76578530787091	1.49345708061816	37	2	0.245038195240845	0.993094421927372
T432	E1	yes	-3.06820108450413	1.28313501555517	37	4	0.0223044237713353	0.993094421927372
T433	E1	yes	-0.79830539462095	0.965358405990046	37	8	0.413866597921057	0.993094421927372
T434	E1	yes	-3.22545257073783	1.3825856608251	37	3	0.0255270286511898	0.993094421927372
T435	E1	yes	0.187269197951652	0.913481613050172	37	5	0.838755066313699	0.993094421927372
T436	E1	yes	0.434198151701671	0.951461290373441	37	6	0.65095856732946	0.993094421927372
T437	E1	yes	-0.872738812101604	1.22170392939127	37	4	0.479740963284724	0.993094421927372
T438	E1	yes	-3.28012950262244	1.4068791313026	37	4	0.0256105660353878	0.993094421927372
T439	E1	yes	-0.323261061010658	1.02592138837996	37	5	0.754561731303802	0.993094421927372
T440	E1	yes	-1.41543148223855	1.21138607025924	37	4	0.250526842297289	0.993094421927372
T441	E1	yes	0.884734449855266	0.623555383315113	37	13	0.164785738028175	0.993094421927372
T442	E1	yes	-1.81159339138153	1.08759360316376	37	5	0.104702485476238	0.993094421927372
T443	E1	yes	-0.31885134487519	1.13450093998373	37	4	0.780326996767455	0.993094421927372
T444	E1	yes	-0.324972080733471	1.14115158974293	37	4	0.777494380472263	0.993094421927372
T445	E1	yes	-10.8067721877008	67.0044123274805	37	1	0.872796752905213	0.993094421927372
T446	E1	yes	-11.8718450935169	113.515394173539	37	1	0.917303294695919	0.993094421927372
