feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T175	E1	yes	0.063969845904972	0.191632828720512	37	37	0.740511275260949	0.993094421927372
T176	E1	yes	0.215566271888399	0.218080264008884	37	37	0.329706088482608	0.993094421927372
T177	E1	yes	-0.0921952874178171	0.19632067494834	37	37	0.641542265410892	0.993094421927372
T178	E1	yes	0.00482828944714636	0.24255399778965	37	37	0.98423137809832	0.993094421927372
T179	E1	yes	0.30653309175351	0.211875790130464	37	37	0.156861911472705	0.993094421927372
T180	E1	yes	0.029730960244099	0.231618872924666	37	37	0.898597600429847	0.993094421927372
T181	E1	yes	-0.250384667951863	0.164086845764538	37	37	0.136014685062076	0.993094421927372
T182	E1	yes	0.0130027918601627	0.247854328564042	37	37	0.958459317910259	0.993094421927372
T183	E1	yes	-0.234870481556709	0.183221907492121	37	36	0.208307716785401	0.993094421927372
T184	E1	yes	0.0686846784108746	0.273127211717565	37	36	0.802917553540319	0.993094421927372
T185	E1	yes	-0.100962717646612	0.260434945246949	37	34	0.700608226821221	0.993094421927372
T186	E1	yes	0.0898079339146999	0.154889154863462	37	37	0.56574964332266	0.993094421927372
T187	E1	yes	0.139964179613518	0.129779126901445	37	37	0.288196501692859	0.993094421927372
T188	E1	yes	-0.0886551318060794	0.192222992922477	37	37	0.647501548542069	0.993094421927372
T189	E1	yes	0.165641152477472	0.24561002184683	37	37	0.504482979360673	0.993094421927372
T190	E1	yes	-0.0747877664816508	0.291900546516135	37	37	0.799288843772766	0.993094421927372
T191	E1	yes	-0.0657459267129788	0.185042144116478	37	37	0.724495379019364	0.993094421927372
T192	E1	yes	-0.116399676461969	0.257491702358005	37	37	0.65402067039636	0.993094421927372
T193	E1	yes	0.0765038353857332	0.157354553966401	37	37	0.62986450482952	0.993094421927372
T194	E1	yes	-0.140663437503714	0.225482406232211	37	37	0.536782022602186	0.993094421927372
T195	E1	yes	0.774220926722342	0.697289211828106	37	13	0.274427184290437	0.993094421927372
T196	E1	yes	0.069213068600351	0.16796462048139	37	37	0.682801576201395	0.993094421927372
T197	E1	yes	-0.0723574200706416	0.255545217591528	37	37	0.778730525329124	0.993094421927372
T198	E1	yes	-0.253674389207273	0.291157671357619	37	37	0.38954878313358	0.993094421927372
T199	E1	yes	0.0647455463731509	0.172371610407249	37	37	0.70946932328448	0.993094421927372
T200	E1	yes	-0.0996903413569644	0.311102858701059	37	37	0.75053886137415	0.993094421927372
T201	E1	yes	-0.100967436587357	0.189022621796481	37	37	0.596610885787541	0.993094421927372
T202	E1	yes	0.0871007043947096	0.289707100404476	37	31	0.765459438611007	0.993094421927372
T203	E1	yes	0.0749596824869908	0.199410781137674	37	37	0.709255791231884	0.993094421927372
T204	E1	yes	-0.158009025757238	0.362725796788369	37	35	0.665790493266382	0.993094421927372
T205	E1	yes	-0.024207266095765	0.168709751621187	37	37	0.886730340824162	0.993094421927372
T206	E1	yes	-0.290486717120492	0.293284446870345	37	37	0.328747348003779	0.993094421927372
T207	E1	yes	-0.222722553978325	0.192942014342555	37	37	0.256178087326475	0.993094421927372
T208	E1	yes	-0.082884290056098	0.226060264991621	37	37	0.716089759859052	0.993094421927372
T209	E1	yes	0.138282503387787	0.283039016324439	37	37	0.628198139160235	0.993094421927372
T210	E1	yes	-0.768447805282384	0.297417054603828	37	37	0.0141080362892916	0.993094421927372
T211	E1	yes	0.123012227806439	0.27627832020392	37	37	0.658882672537708	0.993094421927372
T212	E1	yes	-0.229373292856182	0.395727306891643	37	30	0.565880407358753	0.993094421927372
T213	E1	yes	-0.0573832783774561	0.258104016816668	37	37	0.82535226361924	0.993094421927372
T214	E1	yes	0.268042398066198	0.265433177833407	37	36	0.319507380117371	0.993094421927372
T215	E1	yes	-0.00931125623058881	0.319174384532385	37	34	0.976892377168649	0.993094421927372
T216	E1	yes	-0.296984367711177	0.154129651133518	37	37	0.0621483858608271	0.993094421927372
T217	E1	yes	0.243010977672291	0.200270853104042	37	37	0.233098032696209	0.993094421927372
T218	E1	yes	0.862299834148479	0.602308228347373	37	22	0.161111546275801	0.993094421927372
T219	E1	yes	-0.164393033543996	0.264654508749283	37	36	0.538518497460025	0.993094421927372
T220	E1	yes	-0.18020796792248	0.252385910278803	37	37	0.479951252759089	0.993094421927372
T221	E1	yes	0.15363071454792	0.320189998699522	37	37	0.634346682051101	0.993094421927372
T222	E1	yes	-0.024588828009317	0.232124916863112	37	36	0.916243260931445	0.993094421927372
T223	E1	yes	-0.406294148815935	0.454958207544063	37	30	0.377937249952997	0.993094421927372
T224	E1	yes	-0.0528608665700123	0.242157812649819	37	36	0.828470214321349	0.993094421927372
