feature	Phocaeicola.vulgatus	Bacteroides.uniformis	Bacteroides.thetaiotaomicron	Faecalibacterium.prausnitzii	Roseburia.faecis	Bacteroides.caccae	Enterocloster.clostridioformis	Bacteroides.fragilis	Fusicatenibacter.saccharivorans	Flavonifractor.plautii	Dialister.invisus	Ruminococcus.bicirculans	Blautia.sp..CAG.257	X.Ruminococcus..gnavus	Dorea.longicatena	Anaerobutyricum.hallii	Enterocloster.bolteae	Eubacterium.sp..CAG.38	Lacrimispora.saccharolytica	Intestinimonas.butyriciproducens	Anaerostipes.hadrus	Anaerotignum.lactatifermentans	Ruthenibacterium.lactatiformans	Lawsonibacter.asaccharolyticus	Clostridium.bolteae.CAG.59	X.Clostridium..symbiosum	Anaerotruncus.colihominis	Agathobaculum.butyriciproducens	Escherichia.coli	Eisenbergiella.massiliensis	Enterocloster.citroniae	Bacteroides.stercoris	Monoglobus.pectinilyticus	Alistipes.putredinis	Parabacteroides.distasonis	Roseburia.hominis	Bifidobacterium.longum	X.Eubacterium..siraeum	Parabacteroides.merdae	Roseburia.inulinivorans	Bacteroides.cellulosilyticus	Bacteroides.ovatus	Blautia.wexlerae	Bifidobacterium.adolescentis	Lachnospira.eligens	X.Clostridium..leptum	Eggerthella.lenta	Bacteroides.xylanisolvens	Phocaeicola.dorei	Enterocloster.lavalensis	X.Eubacterium..rectale	Akkermansia.muciniphila	Acidaminococcus.intestini	X.Ruminococcus..torques	Bacteroides.salyersiae	Sellimonas.intestinalis	Bacteroides.faecis	Roseburia.intestinalis	Collinsella.aerofaciens	Bacteroides.intestinalis	Bacteroides.faecis.CAG.32	X.Ruminococcus..lactaris	Prevotella.copri	Eisenbergiella.tayi	Klebsiella.pneumoniae	Intestinibacter.bartlettii	Erysipelatoclostridium.ramosum	Barnesiella.intestinihominis	Blautia.obeum	Bacteroides.finegoldii	Parasutterella.excrementihominis	Phascolarctobacterium.faecium	Lachnospira.pectinoschiza	Clostridium.sp..CAG.58	Bilophila.wadsworthia	Turicimonas.muris	Proteobacteria.bacterium.CAG.139	Anaeromassilibacillus.sp..An250	Hungatella.hathewayi	Alistipes.finegoldii	Ruminococcus.bromii	Odoribacter.splanchnicus	Butyricimonas.virosa	Oscillibacter.sp..CAG.241	Alistipes.indistinctus	Coprococcus.comes	Gemmiger.formicilis	Holdemania.filiformis	Firmicutes.bacterium.CAG.83	Dorea.formicigenerans	Collinsella.intestinalis	Oscillibacter.sp..57_20	Firmicutes.bacterium.CAG.94	Dielma.fastidiosa	Roseburia.sp..CAG.471	X.Clostridium..innocuum	Haemophilus.parainfluenzae	Veillonella.dispar	Veillonella.parvula	Veillonella.infantium	Streptococcus.salivarius	Enterocloster.aldenensis	Veillonella.atypica	Phocaeicola.plebeius	Paraprevotella.xylaniphila	Bacteroides.eggerthii	Alistipes.shahii	Butyricimonas.synergistica	Haemophilus.sp..HMSC71H05	Eubacterium.ramulus	Coprobacter.fastidiosus	Lactobacillus.rogosae	Phocaeicola.massiliensis	Streptococcus.parasanguinis	Ruminococcaceae.bacterium.D16	Veillonella.sp..T11011.6	Klebsiella.variicola	Bacteroides.galacturonicus	Clostridium.sp..CAG.299	Eubacterium.ventriosum	Bifidobacterium.bifidum	Bifidobacterium.pseudocatenulatum	Coprococcus.eutactus	Eubacterium.sp..CAG.251	Phocaeicola.coprocola	Paraprevotella.clara	Coprococcus.catus
HSM6XRQB	0.1530337	0.0617471	0.0226768	0.000627	0	0.0622575	0.002052	0	0	0.0420811	0	0	0	0.1419601	0.0065823	0.0138594	0.026801	0	0	0.0020022	0.038299	0	0.0404483	5.31e-05	0	0.0374533	0.0050265	0	0	0.0002502	0.00032	0	0	0	0.0002819	0.0037286	0	0	0	0.0550499	0	0.149945	0.0052793	0	0	0	0	0	0	0	0	0	0	0.0176076	0	0	0	0	0	0	0	0	0	0.0020758	0.0003699	0	0	0	9.37e-05	0	0	0	0	0.0015158	0	0	0	0	0.0383475	0	0	0	0	0	0	0.0001279	0	0	0	0.0014793	0	0.0137678	0	0	0	0.0004586	0	0	0	0	0	6.41e-05	0	0	0	0	0	0	0	0.0387693	0	0	0.0091711	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSM6XRQC_P	0.0599956	0	0.0115893	0	0	0	0	0.6568951	0.0007657	0	0	0	0	0.0228491	0	0	0	0	0	0	0.0013693	0	0	0	0	0	0	0	0.0095909	0	0	0.0953579	0	0	0	0	0.0003919	0	0	0.0012688	0	0.0208541	0	0	0	0	0	0	0	0	0.0029818	0	0	0.015902	0	0	0	0	0	0	0	0	0	0	0.0176826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020236	0.0018411	0.0677183	0.0017898	0.0008083	0	0.0023707	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006507	0	0	0	0	0	0	0	0	0	0
HSM6XRQE_P	0.0564702	0	0	0.0405519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082388	0	0	0	0	0	0	0	0.0490193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSM6XRR3	0	0.0512868	0.0659259	0.0294433	0	0	2.59e-05	0.1898568	0.0009235	6.43e-05	0.0003908	0	0	0	0.0009231	0	0.0025332	0	0	0	0.0006435	0	0	0	0	0.0015226	0	0.0002411	0	0	0	0.260498	0	0	0.0988216	0.0016257	0	0	0	0.0025021	0	0.062396	0.0007855	0	0	0	0	0.1932337	0	0	0.0026391	0.0091287	0	0.0001223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009251	0	0.0056476	0.0014024	0	0.0006656	0.0005217	0	0	0.0044603	0	0	0	0	0	0.0001687	0	6.6e-06	0	0	0.0008714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006439	0	0.0002579	0	0	0	0	0	0	0.0005695	0	0	0	0	0	0	0	0
HSM67VDX_P	0.000118	0.0154513	0.0083551	0.0082455	0.0046098	0.0513444	0	0.0150175	0.0014517	0.0039584	0	0	0	0.0668048	0.0121005	0.0030328	3.31e-05	0.0003619	0	0	0.0015492	0	0.012297	0.0010058	0	0	0.0004467	6.36e-05	0.0041585	0.0026481	7.39e-05	0.1366601	0	0.0539468	0.0358897	0.005007	0.030809	0	0.032663	0.0009758	0.0019328	0.0050749	0	0	0.0044301	0.0033467	0.0001683	0.0480124	0.2037306	0	0.010936	0	0.0140457	0.0351546	0	0	0	0.0003851	0.010599	0	0	0.0065763	0	0.0002403	0	0	0	0	0.0050845	0	0.0010831	0.0007657	0.0092517	0.0015806	0.0001969	0.0001309	0.0080557	0	0.0002578	0.0135319	0	0.0065911	0	0.0022576	0	0.0152809	6.03e-05	0.0001408	4.73e-05	0.0021805	0	0	0	2.29e-05	2.95e-05	0.0001518	8.14e-05	0	0	0	0	0	0	0	0	0	0.000352	0	0	1.65e-05	0	0	0	0	0	0	0	0.0026388	0	0	0	0.0658353	0	0	0	0	0
HSM67VDR_P	0.3151855	0.0965752	0	0.0676426	0	0.0028214	0	0.0016826	0.001715	6.55e-05	0.0004583	0	0	0.0005271	0.003955	0.0001674	0	0	0	0	0.0043026	0	0	0	0	0	0	3.17e-05	0.0001514	0	0	0.0793348	0	0.0356561	0.0469424	0.0005384	0.0013397	4.79e-05	0.0161902	0.091916	0	0.0391819	0	0.000131	0.0003855	0	0	0.0007474	0	0	0.0010412	0	0	0.0020344	0	0	0.0062308	0.054149	0.0011768	0	0.0006584	0	0	0	0	0	0	0	0.0009346	0.0115013	0	0	0	0.0004303	0	0	0	0	0	0	0	0.0017247	0	0	0	0.0010974	0.0006082	0	0	0.0010091	0	0.0071967	0	0	0	0	0.0059687	0.0003702	0.0003989	4.68e-05	0	0	0	0	0.0735194	0	0.0002145	0	0.0001335	0	0	0	0.0187673	0	0	0	0	0	0	0.0001715	0.0011567	0	0	0	0	0.0006295	6.85e-05
HSM67VDT	0.2035663	0.0824255	0.0027174	0.0067031	0.0013523	0.025145	0	0	0.0002851	0.0011475	1.6e-05	0	0	0.0005387	0.0002392	0	0	0	0	4.61e-05	0.0002957	0	0.000529	2.59e-05	0	0	0	1.11e-05	0.0006058	1.49e-05	0	0.3784621	0	0.0863251	0.0254951	0.0001615	0.0008674	0.0027785	0.0394849	6.43e-05	0	0.0188012	7.97e-05	0	0.0001156	0.0007065	0	0.0363943	0	0	0.0078254	0.0125274	0	0.0009538	0	3.6e-05	0.0234624	0	0.0005068	0	0.0114396	0.0015543	0	0	0	0	0	0	0.0008703	0	0.0017386	0	0	7.19e-05	0	1.1e-05	0.0001045	0	0	0.0104324	0	0.0064348	0	8.6e-06	0	0	3.48e-05	0	0.0003746	0	0	0	0	0	0	0	9.02e-05	0	6.13e-05	0	0.0001375	0	0	0	0	0	0.0008006	0	0	0	0	0	0	0	0.0002248	0	0	0	0	0.0011006	0	0	0	0	0	0	0
HSM67VDT_P	0.2277739	0.0834999	0.0023965	0.010509	0.0013707	0.0225489	0	0	0.000115	0.0014568	0.0001114	0	0	0.0006429	0.0004941	3e-06	0	0	0	0	0.0004817	0	0.000814	4.9e-06	0	0	0	1.37e-05	0.0004001	7.59e-05	0	0.3584403	0	0.086644	0.0273104	0.0005006	0.001532	0.0018457	0.0403167	7.65e-05	0	0.0155016	8.72e-05	0	8.75e-05	0.001062	0	0.0267319	0	0	0.0067644	0.0211957	0	0.0007805	0	6.35e-05	0.0203851	0	0.0004688	0	0.0065713	0.001498	0	0	0	0	0	0	0.0007674	0	0.0015385	0	0	0.0001275	0	0	5.16e-05	0	0	0.013154	0	0.0058503	0	0	0	0	0	0	0.0003969	0	0	0	0	0	0	0	0.0001062	0	1.92e-05	0	5.4e-05	0	0	0	0	0	0.0008969	0	0.0001183	0	0	0	0	0	0.0001752	0	0	0	0	0.0018161	0	0	0	0	0	0	0
HSM7CZ1T_P	0.4095141	0.128684	0.0147875	0.0337564	0.038155	0	0	0.0224307	0.000811	0.0041966	0	0.0006925	0	0.0005461	0.0009953	0.0001396	0.000127	0	0	0.0004243	0.0027155	4.44e-05	0.0005201	0.0001428	0	0.0010526	0	0.000154	0.0010217	0.0003213	0	0.1856918	0	0	0.0644868	5.3e-05	0.0006286	0	0	0.0107113	0	0.0122263	0	1.07e-05	6.65e-05	0.0002764	9.34e-05	0.0070868	0	0	0	0.0012602	0	0.0004261	0	7.46e-05	0	0.003217	0	0	0	0.0045281	0	0	0	0	0	0	0.0013649	0	0.0056588	0.000591	0.0006447	0.0046619	2.91e-05	0.0004954	0.00542	2.71e-05	0	0.0081969	0	0.0083591	0	0	0	0.0005867	0	0.0001708	0	0.0003283	0	0	0.0005364	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013662	0	0	0	0	0	0	0	0	0	0	4.81e-05	0.0003934	0.001516	0	0.0021399	0	0	0	0	0
HSM67VID	0.0538002	0.0215949	0.0150217	0.0376172	0.007542	0.025406	0	0.0037706	0.0004438	1.96e-05	0	0	0	0	0.0001952	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002392	0	0	0	0	0.018256	0	0.0010411	0	0.0734022	0.0133443	0	0	0	0	0	0.0003127	0	0	0.0090168	0	0	0	0	0	0.0003513	0	0	9.93e-05	0	0.0001105	0	0	0	0.6905416	0	0	0	0	0	5.08e-05	0	0	0.0028706	0	0	0	0	0	0	0	0.0005933	0	0.0033618	0.0010233	0.0001347	0	0	0	0	0	0.000142	0	0.0035642	0	0	0	0	0.0007214	0	0	0	0	0	0	0	0	0	3.37e-05	0	0	0.0001152	0.0046544	0	0	0	0	0	0	0	0	0	0	0	0.0004564	0	0	0	5.9e-06
