"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","C33","C34","C35","C36","C37","C38","C39","C40"
"Tyrosine",0.2026,0.2568,0.1613,0.2811,0.1766,0.1515,0.1323,0.1924,0.1842,0.149,0.1901,0.1729,0.1081,0.094,0.1097,0.1147,0.1262,0.129,0.108,0.1376,0.1908,0.1388,0.1754,0.2357,0.2353,0.1541,0.1611,0.1644,0.2475,0.1602,0.133,0.2549,0.1078,0.1671,0.1418,0.184,0.1441,0.1787,0.2505,0.1653
"Glycine",0.1044,0.1388,0.2503,0.4035,0.0823,0.0501,0.01,0.0803,0.0704,0.0961,0.4148,0.3089,0.2846,0.2636,0.2903,0.1642,0.1753,0.1682,0.0382,0.149,0.0516,0.0581,0.0416,0.0421,0.1881,0.077,0.0697,0.1949,0.1597,0.0369,0.0332,0.4344,0.0413,0.0301,0.0348,0.1369,0.0646,0.1947,0.0919,0.1976
"Nicotinate",0.0213,0.0197,0.0171,0.0296,0.0213,0.0137,0.0196,0.024,0.0161,0.0148,0.0262,0.0268,0.016,0.0161,0.0144,0.0192,0.0182,0.0217,0.0179,0.0134,0.0379,0.045,0.0562,0.0352,0.0413,0.0351,0.0423,0.017,0.0572,0.0428,0.05,0.0311,0.0881,0.061,0.0446,0.0389,0.0618,0.0799,0.0657,0.0307
"Uracil",0.1658,0.1487,0.1022,0.0886,0.095,0.0524,0.0396,0.066,0.0501,0.0527,0.0473,0.0619,0.0496,0.0455,0.0666,0.0659,0.0377,0.1159,0.0246,0.0562,0.142,0.1008,0.1162,0.1615,0.1211,0.1231,0.1106,0.1244,0.1108,0.1183,0.1083,0.1337,0.086,0.1445,0.1085,0.1162,0.0555,0.1473,0.1465,0.0527
"Urocanate",0.0164,0.0242,0.0071,0.0131,0.0157,0.0205,NA,0.0094,0.0087,0.0093,0.0152,0.017,0.0109,NA,NA,NA,0.0105,0.0145,0.0126,0.0088,0.019,0.0198,0.0125,0.0228,0.0235,NA,0.0137,0.0164,0.0273,0.0374,0.0162,0.0238,0.0167,0.0185,0.0152,0.0251,0.0312,0.0299,0.0283,0.0162
"Hypoxanthine",0.0152,0.0138,0.0264,0.0109,0.0095,0.007,0.0076,0.0116,0.0054,0.0088,0.0034,0.0046,0.0073,0.0097,NA,NA,0.0084,NA,NA,NA,0.0213,0.0132,0.0137,0.0121,0.0128,0.0191,0.0173,0.0222,0.018,0.0102,0.0091,0.015,0.0111,0.0117,0.0071,0.0047,NA,0.0158,0.0095,0.0073
"Choline",0.0225,0.0229,0.0024,0.0285,0.0073,0.0036,0.0037,0.0125,0.0091,0.0057,0.0165,0.0074,0.0043,9e-04,0.0055,0.0052,0.0027,0.0119,0.0016,0.0044,0.0054,0.0036,0.0017,0.0103,0.0031,0.0033,0.0014,0.0095,0.0023,0.0026,0.0138,0.0027,0.0086,0.0038,0.0034,0.0298,0.0035,0.0029,0.0037,0.0092
"Methanol",0.0392,0.0386,0.0294,0.0828,0.0317,0.0346,0.0418,0.0452,0.0749,0.0735,0.2052,0.0392,0.0821,0.2939,0.026,0.0269,0.171,0.0347,0.1265,0.0381,0.0532,0.0521,0.0446,0.0382,0.0546,NA,0.0446,0.0333,0.0466,0.0502,0.0365,0.0325,0.0511,0.0347,0.0815,0.0788,0.0526,0.0411,0.0497,0.0406
"Succinate",0.0946,0.093,0.3924,0.5181,0.397,0.3503,0.749,0.3761,0.38,2.7403,0.4703,1.3651,0.5141,0.3181,0.6733,1.5836,2.0038,0.096,0.5468,0.2066,4.0161,0.1759,0.8168,0.935,0.3181,0.1694,0.2456,10.4483,0.2983,0.1964,1.1992,0.2706,0.0983,0.2059,1.5054,6.0174,0.1355,0.0994,0.1527,5.8158
"2-oxoglutarate",0.0303,0.0484,0.0453,0.0584,0.0285,0.0352,NA,0.0746,0.0124,0.0498,0.0115,0.0477,0.0096,0.0142,0.0287,0.0256,0.0705,0.0635,0.0169,0.0303,0.018,0.1032,0.0217,0.0643,0.0527,0.0412,0.0591,NA,0.0879,0.073,0.1083,0.0673,0.1127,0.0376,0.0635,0.0464,0.1719,0.2356,0.1876,0.0254
"Fumarate",0.0123,0.0239,0.0117,0.0223,0.0073,0.0227,0.0244,0.0158,0.0072,0.0128,0.015,0.0342,0.0144,0.015,0.0108,0.008,0.0131,0.0192,0.0209,0.0084,0.045,0.0124,0.0081,0.0127,0.0126,0.026,0.0229,0.0144,0.0149,0.0416,0.0097,0.0043,0.0113,0.0631,0.0089,0.0287,0.0283,0.0083,0.0039,0.0473
"Pyruvate",0.0226,0.0382,0.0187,0.006,0.0415,0.0094,0.0172,0.0269,0.0329,0.0354,0.0045,0.0295,0.0153,0.0205,0.0152,0.0143,0.0101,0.0215,0.0194,0.0108,0.107,0.0423,0.0361,0.0388,0.0212,0.0408,0.0594,0.0247,0.0264,0.0926,0.0274,0.041,0.105,0.0149,0.0661,0.0335,0.0267,0.041,0.0819,0.0149
"Methylamine",0.0219,0.0294,0.0322,0.0311,0.0454,0.0349,0.0344,0.0429,0.0258,0.0782,0.0278,0.0216,0.0227,0.0205,0.0303,0.0154,0.028,0.013,0.0223,0.0249,0.011,0.0457,0.0449,0.0217,0.0158,0.0373,0.0237,0.0324,0.0256,0.0084,0.0303,0.0366,0.0923,0.0222,0.066,0.0363,0.0283,0.0501,0.0843,0.0259
"Trimethylamine",0.0054,0.0053,0.0043,0.005,0.0055,0.0044,0.0042,0.006,0.0053,0.0071,0.0053,0.0045,0.0064,0.0043,0.0037,0.0029,0.0055,0.0044,0.0042,0.006,0.0042,0.0037,0.0043,0.0035,0.006,0.0056,0.0042,0.0051,0.0044,0.0076,0.0062,0.006,0.0065,0.0089,0.0035,0.005,0.006,0.0053,0.0055,0.0051
"Malonate",0.0307,0.0317,0.0173,0.0338,0.0332,0.0322,0.0509,0.0446,0.0251,0.0491,0.0336,0.05,0.0255,0.0246,0.0542,0.0219,0.0452,0.0374,0.0506,0.0324,0.0267,0.0266,0.0182,0.025,0.0121,0.0315,0.0315,0.0372,0.0357,0.043,NA,0.0265,0.0306,0.0435,0.0423,0.0372,0.0181,0.0212,0.0346,0.0426
"1,3-dihydroxyacetone",0.0049,0.0131,0.0047,0.0136,0.004,0.0098,0.0032,0.0037,0.0028,0.0029,0.0116,0.0044,0.0034,0.0092,0.0045,0.0038,0.0032,0.0031,0.0056,0.0069,0.0115,0.0092,0.0076,0.0116,0.0098,0.0092,0.0092,0.011,0.0078,0.0085,0.0123,0.0114,0.013,0.0097,0.0098,0.0128,0.0123,0.0118,0.0131,0.0061
