"","Phylum","Class","Order","Family","Genus","Species","OTU"
"JRJTB:01681:00669","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","JRJTB:01681:00669"
"JRJTB:01682:01428","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnoclostridium",NA,"JRJTB:01682:01428"
"JRJTB:01682:01729","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","D_6__uncultured bacterium","JRJTB:01682:01729"
"JRJTB:01682:03355","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","JRJTB:01682:03355"
"JRJTB:01684:02720","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Christensenellaceae","D_5__Christensenellaceae R-7 group","D_6__uncultured bacterium","JRJTB:01684:02720"
"JRJTB:01684:03218","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae",NA,NA,"JRJTB:01684:03218"
"JRJTB:01685:02078","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","JRJTB:01685:02078"
"JRJTB:01685:02966","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae",NA,NA,"JRJTB:01685:02966"
"JRJTB:01685:03150","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae","D_5__uncultured Bacteroidales bacterium","D_6__uncultured Bacteroidales bacterium","JRJTB:01685:03150"
"JRJTB:01686:00694","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae",NA,NA,"JRJTB:01686:00694"
"JRJTB:01686:00921","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Rikenellaceae","D_5__Alistipes","Ambiguous_taxa","JRJTB:01686:00921"
"JRJTB:01686:02323","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Rikenellaceae","D_5__Rikenellaceae RC9 gut group","Ambiguous_taxa","JRJTB:01686:02323"
"JRJTB:01687:00510","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Dubosiella","D_6__Dubosiella newyorkensis","JRJTB:01687:00510"
"JRJTB:01687:00692","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides","D_6__uncultured bacterium","JRJTB:01687:00692"
"JRJTB:01687:01214","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae","D_5__uncultured bacterium","D_6__uncultured bacterium","JRJTB:01687:01214"
